"jobTitle","company","location","link","jobDescription"
"Data Scientist – Delhi NCR (4+ years of experience)","Analytics Vidhya "," Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-delhi-ncr-4-years-of-experience/","classification, clustering, machine learning, optimization, predictive modeling, statistical modeling"
"Junior/ Senior Data Scientist- Bangalore (3-5 Years Experience)","Cloud Byte "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/junior-senior-data-scientist-bangalore-3-5-years-experience/","aws, hadoop, hive, pig, python, sql, statistical modeling, statistics"
"Senior Data Scientist- Delhi/NCR/Pune/Gurgaon (4-9 Years of Experience)","Analytics Vidhya "," Delhi, Gurugram, Pune ","https://jobsnew.analyticsvidhya.com/jobs/senior-data-scientist-delhincrpunegurgaon-4-9-years-of-experience/","algorithms, bigdata, Hadoop Ecosystem, java, machine learning, python, r, statistics, text mining"
"Data Scientist- kolkata (2-4 years Of Experience)","Analytics Vidhya "," Kolkata ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-kolkata-2-4-years-of-experience/","analytics, apache spark, business analysis, business analytics, nosql, python, r, sql, statistical techniques"
"Data Scientist- gurugram (3-5 Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-gurugram-3-5-years-of-experience/","excel, java, python, statistical modeling"
"Data Scientist - Bangalore/ Hyderabad (2-5 Years Of Experience)","Analytics Vidhya "," Bengaluru, Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-hyderabad-2-5-years-of-experience/","clustering, data mining, linear regression, logistic regression, python, r, random forest, sql, statistical modeling"
"Principal Data Scientist- Bangalore (10- 20 years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/principal-data-scientist-bangalore-10-20-years-of-experience/","apache spark, aws, bigdata, data science, etl, hadoop, java, machine learning, nlp, python, Scala"
"Lead Data Scientist - Mumbai (5-10 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/lead-data-scientist-mumbai-5-10-years-of-experience/","algorithms, analytics, bigdata, data science, hadoop, machine learning, mathematics, modeling, nosql, python, qlikview, r, sas, spark, sql, statistical modeling, statistics, tableau, transformations"
"Request Experienced Data Scientist and Machine Learner (Location Delhi NCR, Bangalore) 4-5 Years Exp.","Analytics Vidhya "," Bengaluru, Delhi ","https://jobsnew.analyticsvidhya.com/jobs/request-experienced-data-scientist-and-machine-learner-location-delhi-ncr-bangalore-4-5-years-exp/","Advanced Excel,  deep learning,  machine learning,  sql"
"Data Scientist- Bangalore (2+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-years-of-experience-2/","data science, hadoop, hbase, hive, machine learning, predictive modeling, python, r, spark, statistical modeling"
"Data Scientist- (Machine Learning)- Delhi/NCR (4-8 Years of Experience)","Analytics Vidhya "," Delhi, Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-machine-learning-delhincr-4-8-years-of-experience/","hadoop, K-NN, logistic, machine learning, neural network, python, r, random forest, sas, statistical modeling"
"Data Scientist- Bangalore (3-8 Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-3-8-years-of-experience/","data mining, python, r, sql, statistical modeling"
"Data Scientist- Delhi/NCR (3+ Years Of Experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-delhincr-3-years-of-experience/","hadoop, java, logistic regression, mapreduce, matlab, nosql, predictive modeling, python, r, spark"
"Assistant Manager - Data Scientist (Technology COE)- Hyderabad (5+ Years Of Experience)","Analytics Vidhya "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/assistant-manager-data-scientist-technology-coe-hyderabad-5-years-of-experience/","algorithms, etl, Linear algebra, machine learning, r, statistical modeling, text mining"
"Data Scientist","Dollarbird Information Services Pvt, Ltd. "," Mysuru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-5/",""
"Data Scientist- Delhi/NCR (3+ Years Of Experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-delhincr-3-years-of-experience/","hadoop, java, logistic regression, mapreduce, matlab, nosql, predictive modeling, python, r, spark"
"Data Scientist- gurugram (3-5 Years Of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-gurugram-3-5-years-of-experience/","excel, java, python, statistical modeling"
"Data Scientist - Bangalore (2 - 5 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-5-years-of-experience/","analytics, classification, machine learning, python, r, regression, sas, spss, time series"
